site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season
rachel-carson-reserve-nyctanassa-violacea,rachel-carson-reserve,Yellow-crowned Night-Heron,Nyctanassa violacea,nyctanassa-violacea,2,3,2,0,2320
rachel-carson-reserve-eudocimus-albus,rachel-carson-reserve,White Ibis,Eudocimus albus,eudocimus-albus,5,5,5,5,5555
rachel-carson-reserve-plegadis-falcinellus,rachel-carson-reserve,Glossy Ibis,Plegadis falcinellus,plegadis-falcinellus,2,3,2,0,2320
rachel-carson-reserve-branta-bernicla,rachel-carson-reserve,Brant,Branta bernicla,branta-bernicla,0,0,0,1,0001
rachel-carson-reserve-branta-canadensis,rachel-carson-reserve,Canada Goose,Branta canadensis,branta-canadensis,2,2,2,2,2222
rachel-carson-reserve-anas-crecca,rachel-carson-reserve,Green-winged Teal,Anas crecca,anas-crecca,2,0,2,3,2023
rachel-carson-reserve-anas-rubripes,rachel-carson-reserve,American Black Duck,Anas rubripes,anas-rubripes,1,0,2,3,1023
rachel-carson-reserve-anas-platyrhynchos,rachel-carson-reserve,Mallard,Anas platyrhynchos,anas-platyrhynchos,3,3,3,3,3333
rachel-carson-reserve-anas-acuta,rachel-carson-reserve,Northern Pintail,Anas acuta,anas-acuta,1,0,1,1,1011
rachel-carson-reserve-anas-discors,rachel-carson-reserve,Blue-winged Teal,Anas discors,anas-discors,3,2,3,0,3230
rachel-carson-reserve-anas-clypeata,rachel-carson-reserve,Northern Shoveler,Anas clypeata,anas-clypeata,2,0,1,0,2010
rachel-carson-reserve-anas-strepera,rachel-carson-reserve,Gadwall,Anas strepera,anas-strepera,1,0,1,1,1011
rachel-carson-reserve-anas-americana,rachel-carson-reserve,American Wigeon,Anas americana,anas-americana,2,0,2,2,2022
rachel-carson-reserve-aythya-americana,rachel-carson-reserve,Redhead,Aythya americana,aythya-americana,1,0,0,1,1001
rachel-carson-reserve-aythya-marila,rachel-carson-reserve,Greater Scaup,Aythya marila,aythya-marila,2,0,0,2,2002
rachel-carson-reserve-aythya-affinis,rachel-carson-reserve,Lesser Scaup,Aythya affinis,aythya-affinis,2,0,2,3,2023
rachel-carson-reserve-clangula-hyemalis,rachel-carson-reserve,Long-tailed Duck,Clangula hyemalis,clangula-hyemalis,0,0,0,1,0001
rachel-carson-reserve-melanitta-nigra,rachel-carson-reserve,Black Scoter,Melanitta nigra,melanitta-nigra,3,1,2,2,3122
rachel-carson-reserve-melanitta-perspicillata,rachel-carson-reserve,Surf Scoter,Melanitta perspicillata,melanitta-perspicillata,2,0,2,2,2022
rachel-carson-reserve-melanitta-fusca,rachel-carson-reserve,White-winged Scoter,Melanitta fusca,melanitta-fusca,1,1,0,1,1101
rachel-carson-reserve-bucephala-clangula,rachel-carson-reserve,Common Goldeneye,Bucephala clangula,bucephala-clangula,2,0,0,2,2002
rachel-carson-reserve-bucephala-albeola,rachel-carson-reserve,Bufflehead,Bucephala albeola,bucephala-albeola,3,0,2,5,3025
rachel-carson-reserve-lophodytes-cucullatus,rachel-carson-reserve,Hooded Merganser,Lophodytes cucullatus,lophodytes-cucullatus,2,0,2,4,2024
rachel-carson-reserve-mergus-serrator,rachel-carson-reserve,Red-breasted Merganser,Mergus serrator,mergus-serrator,5,2,3,5,5235
rachel-carson-reserve-oxyura-jamaicensis,rachel-carson-reserve,Ruddy Duck,Oxyura jamaicensis,oxyura-jamaicensis,0,0,0,2,0002
rachel-carson-reserve-cathartes-aura,rachel-carson-reserve,Turkey Vulture,Cathartes aura,cathartes-aura,5,5,5,5,5555
rachel-carson-reserve-pandion-haliaetus,rachel-carson-reserve,Osprey,Pandion haliaetus,pandion-haliaetus,4,5,4,2,4542
rachel-carson-reserve-haliaeetus-leucocephalus,rachel-carson-reserve,Bald Eagle,Haliaeetus leucocephalus,haliaeetus-leucocephalus,2,2,2,2,2222
rachel-carson-reserve-circus-cyaneus,rachel-carson-reserve,Northern Harrier,Circus cyaneus,circus-cyaneus,3,1,4,4,3144
rachel-carson-reserve-accipiter-striatus,rachel-carson-reserve,Sharp-shinned Hawk,Accipiter striatus,accipiter-striatus,2,0,4,4,2044
rachel-carson-reserve-accipiter-cooperii,rachel-carson-reserve,Cooper's Hawk,Accipiter cooperii,accipiter-cooperii,2,0,3,4,2034
rachel-carson-reserve-buteo-jamaicensis,rachel-carson-reserve,Red-tailed Hawk,Buteo jamaicensis,buteo-jamaicensis,2,0,3,4,2034
rachel-carson-reserve-falco-sparverius,rachel-carson-reserve,American Kestrel,Falco sparverius,falco-sparverius,2,0,3,3,2033
rachel-carson-reserve-falco-columbarius,rachel-carson-reserve,Merlin,Falco columbarius,falco-columbarius,2,0,3,3,2033
rachel-carson-reserve-falco-peregrinus,rachel-carson-reserve,Peregrine Falcon,Falco peregrinus,falco-peregrinus,2,0,3,3,2033
