site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season,aou,bnc
brevard-hike-and-bike-path-including-hospital-fields-oreothlypis-ruficapilla,brevard-hike-and-bike-path-including-hospital-fields,Nashville Warbler,Oreothlypis ruficapilla,oreothlypis-ruficapilla,3,0,3,0,3030,1537,448
brevard-hike-and-bike-path-including-hospital-fields-vireo-flavifrons,brevard-hike-and-bike-path-including-hospital-fields,Yellow-throated Vireo,Vireo flavifrons,vireo-flavifrons,2,2,2,0,2220,1247,438
brevard-hike-and-bike-path-including-hospital-fields-vireo-gilvus,brevard-hike-and-bike-path-including-hospital-fields,Warbling Vireo,Vireo gilvus,vireo-gilvus,1,0,1,0,1010,1254,439
brevard-hike-and-bike-path-including-hospital-fields-vireo-griseus,brevard-hike-and-bike-path-including-hospital-fields,White-eyed Vireo,Vireo griseus,vireo-griseus,2,2,2,0,2220,1233,435
brevard-hike-and-bike-path-including-hospital-fields-vireo-olivaceus,brevard-hike-and-bike-path-including-hospital-fields,Red-eyed Vireo,Vireo olivaceus,vireo-olivaceus,5,5,5,0,5550,1257,441
brevard-hike-and-bike-path-including-hospital-fields-vireo-philadelphicus,brevard-hike-and-bike-path-including-hospital-fields,Philadelphia Vireo,Vireo philadelphicus,vireo-philadelphicus,1,0,2,0,1020,1256,440
brevard-hike-and-bike-path-including-hospital-fields-vireo-solitarius,brevard-hike-and-bike-path-including-hospital-fields,Blue-headed Vireo,Vireo solitarius,vireo-solitarius,2,2,2,0,2220,1250,437
brevard-hike-and-bike-path-including-hospital-fields-cardellina-canadensis,brevard-hike-and-bike-path-including-hospital-fields,Canada Warbler,Cardellina canadensis,cardellina-canadensis,2,0,2,0,2020,1602,483
brevard-hike-and-bike-path-including-hospital-fields-setophaga-citrina,brevard-hike-and-bike-path-including-hospital-fields,Hooded Warbler,Setophaga citrina,setophaga-citrina,4,4,2,0,4420,1600,481
brevard-hike-and-bike-path-including-hospital-fields-cardellina-pusilla,brevard-hike-and-bike-path-including-hospital-fields,Wilson's Warbler,Cardellina pusilla,cardellina-pusilla,1,0,1,0,1010,1601,482
brevard-hike-and-bike-path-including-hospital-fields-zenaida-macroura,brevard-hike-and-bike-path-including-hospital-fields,Mourning Dove,Zenaida macroura,zenaida-macroura,5,5,5,5,5555,556,322
brevard-hike-and-bike-path-including-hospital-fields-zonotrichia-albicollis,brevard-hike-and-bike-path-including-hospital-fields,White-throated Sparrow,Zonotrichia albicollis,zonotrichia-albicollis,5,0,4,5,5045,1726,520
cradle-of-forestry-in-america-accipiter-cooperii,cradle-of-forestry-in-america,Cooper's Hawk,Accipiter cooperii,accipiter-cooperii,4,2,4,2,4242,279,201
cradle-of-forestry-in-america-accipiter-striatus,cradle-of-forestry-in-america,Sharp-shinned Hawk,Accipiter striatus,accipiter-striatus,2,0,4,2,2042,278,200
cradle-of-forestry-in-america-agelaius-phoeniceus,cradle-of-forestry-in-america,Red-winged Blackbird,Agelaius phoeniceus,agelaius-phoeniceus,2,2,2,0,2220,1772,529
cradle-of-forestry-in-america-archilochus-colubris,cradle-of-forestry-in-america,Ruby-throated Hummingbird,Archilochus colubris,archilochus-colubris,4,4,4,0,4440,864,349
cradle-of-forestry-in-america-baeolophus-bicolor,cradle-of-forestry-in-america,Tufted Titmouse,Baeolophus bicolor,baeolophus-bicolor,5,5,5,5,5555,1343,397
cradle-of-forestry-in-america-bombycilla-cedrorum,cradle-of-forestry-in-america,Cedar Waxwing,Bombycilla cedrorum,bombycilla-cedrorum,4,4,4,2,4442,1525,429
cradle-of-forestry-in-america-bonasa-umbellus,cradle-of-forestry-in-america,Ruffed Grouse,Bonasa umbellus,bonasa-umbellus,2,2,2,2,2222,98,214
cradle-of-forestry-in-america-bubo-virginianus,cradle-of-forestry-in-america,Great Horned Owl,Bubo virginianus,bubo-virginianus,4,4,4,4,4444,681,335
cradle-of-forestry-in-america-buteo-jamaicensis,cradle-of-forestry-in-america,Red-tailed Hawk,Buteo jamaicensis,buteo-jamaicensis,5,5,5,4,5554,305,206
