spp_slug,commonName,scientificName,aou,bnc
thalassarche-chlororhynchos,Yellow-nosed Albatross,Thalassarche chlororhynchos,142,106
thalasseus-maximus,Royal Tern,Thalasseus maximus,504,300
thalasseus-sandvicensis,Sandwich Tern,Thalasseus sandvicensis,506,301
thryomanes-bewickii,Bewick's Wren,Thryomanes bewickii,1382,403
thryothorus-ludovicianus,Carolina Wren,Thryothorus ludovicianus,1378,402
toxostoma-rufum,Brown Thrasher,Toxostoma rufum,1492,425
tringa-erythropus,Spotted Redshank,Tringa erythropus,402,241
tringa-flavipes,Lesser Yellowlegs,Tringa flavipes,406,240
tringa-melanoleuca,Greater Yellowlegs,Tringa melanoleuca,403,239
tringa-semipalmata,Willet,Tringa semipalmata,405,243
tringa-solitaria,Solitary Sandpiper,Tringa solitaria,399,242
troglodytes-aedon,House Wren,Troglodytes aedon,1384,405
troglodytes-hiemalis,Winter Wren,Troglodytes hiemalis,2066,406
tryngites-subruficollis,Buff-breasted Sandpiper,Tryngites subruficollis,447,267
turdus-migratorius,American Robin,Turdus migratorius,1472,421
tyrannus-dominicensis,Gray Kingbird,Tyrannus dominicensis,1197,379
tyrannus-forficatus,Scissor-tailed Flycatcher,Tyrannus forficatus,1200,380
tyrannus-melancholicus,Tropical Kingbird,Tyrannus melancholicus,1191,376
tyrannus-savana,Fork-tailed Flycatcher,Tyrannus savana,1201,381
tyrannus-tyrannus,Eastern Kingbird,Tyrannus tyrannus,1196,378
tyrannus-verticalis,Western Kingbird,Tyrannus verticalis,1195,377
tyto-alba,Barn Owl,Tyto alba,664,333
uria-aalge,Common Murre,Uria aalge,514,12218
uria-lomvia,Thick-billed Murre,Uria lomvia,515,314
vanellus-vanellus,Northern Lapwing,Vanellus vanellus,369,228
oreothlypis-celata,Orange-crowned Warbler,Oreothlypis celata,1536,447
vermivora-chrysoptera,Golden-winged Warbler,Vermivora chrysoptera,1534,445
oreothlypis-peregrina,Tennessee Warbler,Oreothlypis peregrina,1535,446
vermivora-cyanoptera,Blue-winged Warbler,Vermivora cyanoptera,1533,444
oreothlypis-ruficapilla,Nashville Warbler,Oreothlypis ruficapilla,1537,448
vireo-altiloquus,Black-whiskered Vireo,Vireo altiloquus,1259,442
vireo-flavifrons,Yellow-throated Vireo,Vireo flavifrons,1247,438
vireo-gilvus,Warbling Vireo,Vireo gilvus,1254,439
vireo-griseus,White-eyed Vireo,Vireo griseus,1233,435
vireo-olivaceus,Red-eyed Vireo,Vireo olivaceus,1257,441
vireo-philadelphicus,Philadelphia Vireo,Vireo philadelphicus,1256,440
vireo-solitarius,Blue-headed Vireo,Vireo solitarius,1250,437
cardellina-canadensis,Canada Warbler,Cardellina canadensis,1602,483
setophaga-citrina,Hooded Warbler,Setophaga citrina,1600,481
cardellina-pusilla,Wilson's Warbler,Cardellina pusilla,1601,482
xanthocephalus-xanthocephalus,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,1781,532
xema-sabini,Sabine's Gull,Xema sabini,1988,297
zenaida-asiatica,White-winged Dove,Zenaida asiatica,553,321
