scientificName,commonName,spp_slug,aou,bnc
Thalassarche chlororhynchos,Yellow-nosed Albatross,thalassarche-chlororhynchos,142,106
Thalasseus maximus,Royal Tern,thalasseus-maximus,504,300
Thalasseus sandvicensis,Sandwich Tern,thalasseus-sandvicensis,506,301
Thryomanes bewickii,Bewick's Wren,thryomanes-bewickii,1382,403
Thryothorus ludovicianus,Carolina Wren,thryothorus-ludovicianus,1378,402
Toxostoma rufum,Brown Thrasher,toxostoma-rufum,1492,425
Tringa erythropus,Spotted Redshank,tringa-erythropus,402,241
Tringa flavipes,Lesser Yellowlegs,tringa-flavipes,406,240
Tringa melanoleuca,Greater Yellowlegs,tringa-melanoleuca,403,239
Tringa semipalmata,Willet,tringa-semipalmata,405,243
Tringa solitaria,Solitary Sandpiper,tringa-solitaria,399,242
Troglodytes aedon,House Wren,troglodytes-aedon,1384,405
Troglodytes hiemalis,Winter Wren,troglodytes-hiemalis,2066,406
Tryngites subruficollis,Buff-breasted Sandpiper,tryngites-subruficollis,447,267
Turdus migratorius,American Robin,turdus-migratorius,1472,421
Tyrannus dominicensis,Gray Kingbird,tyrannus-dominicensis,1197,379
Tyrannus forficatus,Scissor-tailed Flycatcher,tyrannus-forficatus,1200,380
Tyrannus melancholicus,Tropical Kingbird,tyrannus-melancholicus,1191,376
Tyrannus savana,Fork-tailed Flycatcher,tyrannus-savana,1201,381
Tyrannus tyrannus,Eastern Kingbird,tyrannus-tyrannus,1196,378
Tyrannus verticalis,Western Kingbird,tyrannus-verticalis,1195,377
Tyto alba,Barn Owl,tyto-alba,664,333
Uria aalge,Common Murre,uria-aalge,514,12218
Uria lomvia,Thick-billed Murre,uria-lomvia,515,314
Vanellus vanellus,Northern Lapwing,vanellus-vanellus,369,228
Oreothlypis celata,Orange-crowned Warbler,oreothlypis-celata,1536,447
Vermivora chrysoptera,Golden-winged Warbler,vermivora-chrysoptera,1534,445
Oreothlypis peregrina,Tennessee Warbler,oreothlypis-peregrina,1535,446
Vermivora cyanoptera,Blue-winged Warbler,vermivora-cyanoptera,1533,444
Oreothlypis ruficapilla,Nashville Warbler,oreothlypis-ruficapilla,1537,448
Vireo altiloquus,Black-whiskered Vireo,vireo-altiloquus,1259,442
Vireo flavifrons,Yellow-throated Vireo,vireo-flavifrons,1247,438
Vireo gilvus,Warbling Vireo,vireo-gilvus,1254,439
Vireo griseus,White-eyed Vireo,vireo-griseus,1233,435
Vireo olivaceus,Red-eyed Vireo,vireo-olivaceus,1257,441
Vireo philadelphicus,Philadelphia Vireo,vireo-philadelphicus,1256,440
Vireo solitarius,Blue-headed Vireo,vireo-solitarius,1250,437
Cardellina canadensis,Canada Warbler,cardellina-canadensis,1602,483
Setophaga citrina,Hooded Warbler,setophaga-citrina,1600,481
Cardellina pusilla,Wilson's Warbler,cardellina-pusilla,1601,482
Xanthocephalus xanthocephalus,Yellow-headed Blackbird,xanthocephalus-xanthocephalus,1781,532
Xema sabini,Sabine's Gull,xema-sabini,1988,297
Zenaida asiatica,White-winged Dove,zenaida-asiatica,553,321
